"","ID","Gender","Age","Race","Country_of_birth","Citizenship_status","Family_menbers","Marital_status","Family_income"
"1",73557,"1",69,"4","1","1",3,"4","4"
"2",73558,"1",54,"3","1","1",4,"1","7"
"3",73559,"1",72,"3","1","1",2,"1","10"
"4",73560,"1",9,"3","1","1",4,"1","9"
"5",73561,"2",73,"3","1","1",2,"1","15"
"6",73562,"1",56,"1","1","1",1,"3","9"
"7",73563,"1",0,"3","1","1",3,"1","15"
"8",73564,"2",61,"3","1","1",1,"2","10"
"9",73565,"1",42,"2","1","1",4,"1","15"
"10",73566,"2",56,"3","1","1",7,"3","4"
"11",73567,"1",65,"3","1","1",1,"2","3"
"12",73568,"2",26,"3","1","1",3,"5","15"
"13",73569,"2",0,"7","1","1",4,"1","77"
"14",73570,"2",9,"7","1","1",4,"3","5"
"15",73571,"1",76,"3","1","1",2,"1","14"
"16",73572,"2",10,"4","1","1",3,"5","2"
"17",73573,"1",10,"4","1","1",5,"1","8"
"18",73574,"2",33,"6","2","1",4,"1","8"
"19",73575,"1",1,"4","1","1",2,"5","3"
"20",73576,"1",16,"4","1","1",6,"77","8"
"21",73577,"1",32,"1","2","2",5,"6","2"
"22",73578,"1",18,"1","1","1",7,"1","5"
"23",73579,"2",12,"3","1","1",4,"1","10"
"24",73580,"2",38,"4","1","1",6,"1","12"
"25",73581,"1",50,"6","2","2",3,"1","15"
"26",73582,"2",23,"4","1","1",3,"6","3"
"27",73583,"2",7,"3","1","1",3,"1","15"
"28",73584,"1",13,"3","1","1",3,"1","9"
"29",73585,"1",28,"6","2","1",2,"1","7"
"30",73586,"2",4,"6","1","1",4,"1","6"
"31",73587,"1",14,"6","1","1",7,"4","15"
"32",73588,"1",11,"4","1","1",3,"5","6"
"33",73589,"1",35,"3","1","1",1,"3","5"
"34",73590,"1",2,"1","1","1",5,"1","5"
"35",73591,"1",6,"3","1","1",4,"1","15"
"36",73592,"1",29,"1","1","1",1,"5","6"
"37",73593,"1",3,"3","1","1",4,"1","15"
"38",73594,"1",23,"2","2","2",7,"1","5"
"39",73595,"1",58,"2","1","1",2,"1","8"
"40",73596,"2",57,"6","2","1",3,"1","15"
"41",73597,"2",50,"4","2","1",1,"3","6"
"42",73598,"1",20,"1","1","1",6,"1","4"
"43",73599,"2",13,"3","1","1",3,"3","6"
"44",73600,"1",37,"4","1","1",6,"3","5"
"45",73601,"1",12,"1","1","1",4,"1","14"
"46",73602,"1",3,"2","1","1",4,"1","5"
"47",73603,"1",35,"6","2","2",4,"1","14"
"48",73604,"2",69,"3","1","1",1,"6","6"
"49",73605,"1",13,"3","1","1",4,"1","15"
"50",73606,"1",16,"3","1","1",5,"1","14"
"51",73607,"1",75,"3","1","1",2,"1","4"
"52",73608,"1",3,"6","1","1",4,"1","3"
"53",73609,"2",11,"1","1","1",5,"1","6"
"54",73610,"1",43,"3","1","1",6,"1","10"
"55",73611,"2",3,"2","1","1",7,"1","5"
"56",73612,"2",6,"6","1","1",7,"1","7"
"57",73613,"2",60,"4","1","1",6,"1","15"
"58",73614,"2",55,"3","2","1",2,"2","5"
"59",73615,"2",65,"2","2","1",1,"2","3"
"60",73616,"2",62,"3","1","1",2,"1","15"
"61",73617,"1",6,"1","2","1",6,"1","4"
"62",73618,"2",54,"3","1","1",4,"1","13"
"63",73619,"2",36,"1","2","2",2,"3","3"
"64",73620,"2",3,"3","1","1",4,"1","15"
"65",73621,"1",80,"3","1","1",2,"1","14"
"66",73622,"1",72,"3","1","1",2,"1","14"
"67",73623,"1",32,"3","1","1",4,"1","14"
"68",73624,"2",31,"3","1","1",6,"3","4"
"69",73625,"1",13,"1","1","1",5,"6","77"
"70",73626,"2",72,"4","1","1",4,"1","4"
"71",73627,"1",0,"6","1","1",5,"1","15"
"72",73628,"1",80,"3","1","1",1,"2","7"
"73",73629,"2",26,"4","1","1",5,"1","14"
"74",73630,"1",13,"6","1","1",4,"1","15"
"75",73631,"2",56,"4","1","1",1,"3","2"
"76",73632,"1",23,"1","2","2",2,"1","7"
