"","ID","Gender","Age","Race","Country_of_birth","Citizenship_status","Family_menbers","Marital_status","Family_income"
"1",73557,"Male",69,"Black","US","US",3,"Separated","$15000 - $19999"
"2",73558,"Male",54,"White","US","US",4,"Married","$35000 - $44999"
"3",73559,"Male",72,"White","US","US",2,"Married","$65000 - $74999"
"4",73560,"Male",9,"White","US","US",4,"Married","$55000 - $64999"
"5",73561,"Female",73,"White","US","US",2,"Married","$100000 and Over"
"6",73562,"Male",56,"Mexican_American","US","US",1,"Divorced","$55000 - $64999"
"7",73563,"Male",0,"White","US","US",3,"Married","$100000 and Over"
"8",73564,"Female",61,"White","US","US",1,"Widowed","$65000 - $74999"
"9",73565,"Male",42,"Other_Hispanic","US","US",4,"Married","$100000 and Over"
"10",73566,"Female",56,"White","US","US",7,"Divorced","$15000 - $19999"
"11",73567,"Male",65,"White","US","US",1,"Widowed","$10000 - $14999"
"12",73568,"Female",26,"White","US","US",3,"Never_married","$100000 and Over"
"13",73569,"Female",0,"multiracial","US","US",4,"Married","Refused"
"14",73570,"Female",9,"multiracial","US","US",4,"Divorced","$20000 - $24999"
"15",73571,"Male",76,"White","US","US",2,"Married","$75000 - $99999"
"16",73572,"Female",10,"Black","US","US",3,"Never_married","$5000 - $9999"
"17",73573,"Male",10,"Black","US","US",5,"Married","$45000 - $54999"
"18",73574,"Female",33,"Asian","Others","US",4,"Married","$45000 - $54999"
"19",73575,"Male",1,"Black","US","US",2,"Never_married","$10000 - $14999"
"20",73576,"Male",16,"Black","US","US",6,"Refused","$45000 - $54999"
"21",73577,"Male",32,"Mexican_American","Others","Other",5,"partner","$5000 - $9999"
"22",73578,"Male",18,"Mexican_American","US","US",7,"Married","$20000 - $24999"
"23",73579,"Female",12,"White","US","US",4,"Married","$65000 - $74999"
"24",73580,"Female",38,"Black","US","US",6,"Married","$20000 and Over"
"25",73581,"Male",50,"Asian","Others","Other",3,"Married","$100000 and Over"
"26",73582,"Female",23,"Black","US","US",3,"partner","$10000 - $14999"
"27",73583,"Female",7,"White","US","US",3,"Married","$100000 and Over"
"28",73584,"Male",13,"White","US","US",3,"Married","$55000 - $64999"
"29",73585,"Male",28,"Asian","Others","US",2,"Married","$35000 - $44999"
"30",73586,"Female",4,"Asian","US","US",4,"Married","$25000 - $34999"
"31",73587,"Male",14,"Asian","US","US",7,"Separated","$100000 and Over"
"32",73588,"Male",11,"Black","US","US",3,"Never_married","$25000 - $34999"
"33",73589,"Male",35,"White","US","US",1,"Divorced","$20000 - $24999"
"34",73590,"Male",2,"Mexican_American","US","US",5,"Married","$20000 - $24999"
"35",73591,"Male",6,"White","US","US",4,"Married","$100000 and Over"
"36",73592,"Male",29,"Mexican_American","US","US",1,"Never_married","$25000 - $34999"
"37",73593,"Male",3,"White","US","US",4,"Married","$100000 and Over"
"38",73594,"Male",23,"Other_Hispanic","Others","Other",7,"Married","$20000 - $24999"
"39",73595,"Male",58,"Other_Hispanic","US","US",2,"Married","$45000 - $54999"
"40",73596,"Female",57,"Asian","Others","US",3,"Married","$100000 and Over"
"41",73597,"Female",50,"Black","Others","US",1,"Divorced","$25000 - $34999"
"42",73598,"Male",20,"Mexican_American","US","US",6,"Married","$15000 - $19999"
"43",73599,"Female",13,"White","US","US",3,"Divorced","$25000 - $34999"
"44",73600,"Male",37,"Black","US","US",6,"Divorced","$20000 - $24999"
"45",73601,"Male",12,"Mexican_American","US","US",4,"Married","$75000 - $99999"
"46",73602,"Male",3,"Other_Hispanic","US","US",4,"Married","$20000 - $24999"
"47",73603,"Male",35,"Asian","Others","Other",4,"Married","$75000 - $99999"
"48",73604,"Female",69,"White","US","US",1,"partner","$25000 - $34999"
"49",73605,"Male",13,"White","US","US",4,"Married","$100000 and Over"
"50",73606,"Male",16,"White","US","US",5,"Married","$75000 - $99999"
"51",73607,"Male",75,"White","US","US",2,"Married","$15000 - $19999"
"52",73608,"Male",3,"Asian","US","US",4,"Married","$10000 - $14999"
"53",73609,"Female",11,"Mexican_American","US","US",5,"Married","$25000 - $34999"
"54",73610,"Male",43,"White","US","US",6,"Married","$65000 - $74999"
"55",73611,"Female",3,"Other_Hispanic","US","US",7,"Married","$20000 - $24999"
"56",73612,"Female",6,"Asian","US","US",7,"Married","$35000 - $44999"
"57",73613,"Female",60,"Black","US","US",6,"Married","$100000 and Over"
"58",73614,"Female",55,"White","Others","US",2,"Widowed","$20000 - $24999"
"59",73615,"Female",65,"Other_Hispanic","Others","US",1,"Widowed","$10000 - $14999"
"60",73616,"Female",62,"White","US","US",2,"Married","$100000 and Over"
"61",73617,"Male",6,"Mexican_American","Others","US",6,"Married","$15000 - $19999"
"62",73618,"Female",54,"White","US","US",4,"Married","Under $20000"
"63",73619,"Female",36,"Mexican_American","Others","Other",2,"Divorced","$10000 - $14999"
"64",73620,"Female",3,"White","US","US",4,"Married","$100000 and Over"
"65",73621,"Male",80,"White","US","US",2,"Married","$75000 - $99999"
"66",73622,"Male",72,"White","US","US",2,"Married","$75000 - $99999"
"67",73623,"Male",32,"White","US","US",4,"Married","$75000 - $99999"
"68",73624,"Female",31,"White","US","US",6,"Divorced","$15000 - $19999"
"69",73625,"Male",13,"Mexican_American","US","US",5,"partner","Refused"
"70",73626,"Female",72,"Black","US","US",4,"Married","$15000 - $19999"
"71",73627,"Male",0,"Asian","US","US",5,"Married","$100000 and Over"
"72",73628,"Male",80,"White","US","US",1,"Widowed","$35000 - $44999"
"73",73629,"Female",26,"Black","US","US",5,"Married","$75000 - $99999"
"74",73630,"Male",13,"Asian","US","US",4,"Married","$100000 and Over"
"75",73631,"Female",56,"Black","US","US",1,"Divorced","$5000 - $9999"
"76",73632,"Male",23,"Mexican_American","Others","Other",2,"Married","$35000 - $44999"
"77",73633,"Female",43,"White","US","US",4,"Married","$75000 - $99999"
"78",73634,"Male",65,"Black","US","US",3,"Widowed","$25000 - $34999"
"79",73635,"Female",4,"Mexican_American","US","US",4,"Married","$100000 and Over"
"80",73636,"Female",1,"Mexican_American","US","US",4,"Divorced","$75000 - $99999"
"81",73637,"Female",2,"White","US","US",5,"Married","$5000 - $9999"
